100	100
15	5	4
19	15	1
24	6	4
9	8	3
8	8	4
53	8	5
21	5	5
30	5	5
5	5	2
14	5	4
14	6	4
14	8	2
9	7	5
7	5	2
14	8	2
14	9	2
6	5	3
26	5	1
9	9	5
14	9	5
9	9	4
27	6	4
29	6	2
56	7	3
41	9	4
15	9	4
13	9	2
9	9	3
6	5	3
16	5	2
45	9	5
25	9	1
7	7	1
8	7	1
10	7	5
7	5	4
17	6	1
10	5	5
7	5	2
6	5	1
6	6	5
11	7	1
30	7	3
10	7	2
7	5	5
10	5	5
6	5	1
23	5	4
12	5	3
10	6	1
29	10	5
35	8	2
9	7	4
34	7	5
8	5	2
8	8	1
8	6	5
24	8	2
8	7	3
18	8	3
8	7	4
11	8	1
6	5	4
6	6	2
8	6	5
8	5	1
5	5	4
6	5	1
12	5	1
12	8	3
11	8	4
11	5	5
6	6	2
12	6	5
6	5	1
11	9	4
9	8	4
11	6	4
7	6	3
24	6	4
9	5	1
5	5	4
7	5	2
5	5	1
6	5	2
10	5	5
46	6	1
8	6	4
6	5	5
33	6	3
18	6	4
9	6	3
7	6	1
6	5	2
7	6	2
24	8	1
18	12	3
12	6	1
14	5	2
10	5	2
