100	100
17	14	1
17	6	1
16	15	5
17	8	4
17	13	3
16	7	5
15	5	1
16	15	2
16	12	3
14	10	2
15	5	4
16	11	4
14	11	5
14	8	2
13	8	5
15	12	1
15	7	1
14	13	5
16	7	1
13	13	1
14	8	4
15	9	2
13	5	5
14	12	5
15	11	4
13	7	1
13	7	4
13	5	2
13	10	1
13	8	1
13	12	5
15	13	4
13	5	3
12	8	2
13	13	4
13	12	5
10	7	2
13	8	5
8	5	1
13	9	3
10	10	4
13	6	3
13	7	5
15	9	2
15	6	4
10	5	5
10	9	3
12	7	1
13	5	3
13	8	4
6	6	1
13	5	4
8	6	1
5	5	1
10	9	4
11	7	1
6	5	4
6	5	4
12	8	5
10	8	4
8	8	3
11	9	4
10	7	3
11	8	5
6	5	2
10	8	3
10	6	1
9	7	3
10	8	4
13	6	1
6	5	5
13	6	3
12	6	5
7	6	2
10	10	4
13	5	3
13	5	1
6	5	4
7	5	2
12	10	5
10	9	5
7	7	3
8	8	1
13	9	2
12	12	4
9	9	3
10	8	2
13	9	2
15	12	4
14	6	5
11	9	1
9	7	2
9	8	2
10	9	2
7	5	3
10	5	1
11	8	2
12	10	1
13	9	3
11	8	5
