100	100
7	5	4
7	5	4
27	8	4
27	7	5
23	8	4
23	19	5
16	11	1
11	6	4
5	5	4
6	5	1
22	17	2
26	22	5
14	13	3
13	8	5
9	5	1
9	9	5
13	5	3
13	9	1
9	6	5
37	9	5
10	9	5
17	9	1
15	7	3
10	7	1
7	5	5
9	5	3
9	6	5
8	5	3
8	6	3
6	5	3
6	6	3
11	7	2
16	7	3
14	7	4
10	7	5
5	5	2
18	5	3
6	6	1
29	6	4
27	17	3
17	8	2
17	6	3
17	9	3
15	6	5
7	6	3
7	5	4
16	5	4
16	6	1
10	5	3
10	6	5
10	5	5
8	5	2
11	8	4
6	5	1
10	5	2
20	5	3
7	6	3
6	6	5
7	6	1
11	8	1
11	6	2
14	5	4
15	14	5
11	6	3
12	6	4
8	6	3
13	5	1
5	5	3
7	5	2
10	6	3
9	6	2
6	6	4
7	6	1
7	5	1
5	5	4
6	5	2
5	5	3
6	5	1
10	6	1
19	10	5
9	8	2
16	8	2
18	8	4
18	6	4
9	7	1
9	7	4
26	14	5
26	5	4
20	14	4
20	5	4
9	5	5
11	5	1
18	5	3
8	5	3
9	6	4
14	9	1
20	7	2
20	5	5
7	5	3
7	6	3
