100	100
17	18	2
6	13	4
20	17	3
14	20	1
16	11	4
9	14	5
9	8	3
13	9	2
14	8	4
7	15	1
20	8	3
16	18	2
15	11	1
20	19	2
13	6	3
5	7	1
17	5	1
20	15	5
12	15	5
7	11	5
12	12	1
9	19	2
7	7	1
15	20	2
8	14	4
14	8	4
15	11	1
14	19	5
7	17	2
15	12	5
14	10	2
11	10	3
6	13	4
20	7	4
7	9	4
9	6	1
7	17	2
13	12	4
11	18	1
13	19	1
20	16	5
7	15	2
8	20	3
15	11	5
12	5	4
13	8	3
12	16	3
10	15	5
18	6	3
8	9	2
12	6	2
7	5	2
8	11	3
8	17	5
7	16	1
8	6	3
5	11	3
10	8	2
20	11	4
6	5	3
18	8	2
13	7	3
12	7	4
14	16	5
18	10	5
6	19	3
6	8	4
17	11	3
13	16	3
20	10	2
11	6	2
10	10	3
15	13	1
8	19	4
10	5	5
20	18	4
14	16	1
17	13	4
9	5	3
19	7	5
15	6	1
13	9	3
12	20	1
16	14	4
16	9	1
14	17	3
18	7	3
5	11	2
15	10	3
12	12	5
19	17	5
18	6	2
17	18	2
6	10	1
19	7	3
13	10	5
19	20	2
5	6	2
20	15	5
14	19	4
